album_name	album_name_short	album_release_date	track_duration_ms	tracks_total	album_id	exclude	 loudness	 duration_ms	 energy	 tempo	 valence	 instrumentalness	 speechiness	 liveness	 danceability	 acousticness
Hot Space (Deluxe Edition 2011 Remaster)	Hot Space	3.5.1982	3991931	16	0jEONRWXxZ5LddnJqHPC9g	Yes	-7.0719375	3991932	0.687	119.337625	0.4891875	0.000813537	0.0677875	0.27256875	0.619125	0.179699
A Kind Of Magic (2011 Remaster)	A Kind Of Magic	2.6.1986	2432730	9	0pEfDPZko6TnNOgrZMe5nn	No	-6.854444444	2432733	0.704111111	100.3016667	0.317333333	0.027003978	0.087011111	0.262222222	0.461177778	0.12153
A Day At The Races (2011 Remaster)	A Day At The Races	10.12.1976	2655517	10	0QRlYlrBuP7eGpEMZvZiaQ	No	-8.1868	2655519	0.5732	139.2533	0.29672	0.000498437	0.04895	0.20331	0.3745	0.36137
Hungarian Rhapsody (Live In Budapest / 1986)	Hungarian Rhapsody	1.1.2012	6399644	27	0w4sTU4HG4QrEQrGqFLh7B	No	-10.18033333	6399653	0.678814815	116.5164444	0.318966667	0.046163226	0.083214815	0.722222222	0.344888889	0.295502444
Queen II (Deluxe Edition 2011 Remaster)	Queen II	8.3.1974	3587208	16	0YpxBancYcVg9aLnZerBQg	Yes	-10.399625	3587212	0.64759375	133.8485	0.4126875	0.059514611	0.06633125	0.2747625	0.322	0.338324375
Sheer Heart Attack (Deluxe Edition 2011 Remaster)	Sheer Heart Attack	8.11.1974	3278275	18	1Gnrd76EubInPV4KjOJ1Zr	Yes	-7.866666667	3278277	0.636361111	115.2575	0.501277778	0.002723011	0.098666667	0.240605556	0.438388889	0.297494444
The Miracle (Deluxe Edition 2011 Remaster)	The Miracle	22.5.1989	4174556	17	1HmWxU8jJ27zCs3thz4yX5	Yes	-7.150411765	4174560	0.745117647	108.7724118	0.499352941	0.116615083	0.057117647	0.251535294	0.565176471	0.125112941
Queen II (2011 Remaster)	Queen II	8.3.1974	2443356	11	1rjtzyJM3m6PDcFtwp7JZm	No	-11.054	2443360	0.640590909	127.3032727	0.391181818	0.00891298	0.072672727	0.248109091	0.336909091	0.34338
A Night At The Opera (2011 Remaster)	A Night At The Opera	21.11.1975	2585478	12	1TSZDcvlPtAnekTaItI3qO	No	-9.402583333	2585480	0.556166667	131.18375	0.432916667	0.072552914	0.053175	0.249508333	0.40925	0.3662
Queen Rock Montreal	Queen Rock Montreal	29.10.2007	5883884	28	27JIAjxwuXQ5gXfl4Ya0qn	No	-6.073178571	5883892	0.853428571	122.0049643	0.259728571	0.157765854	0.123542857	0.755410714	0.334714286	0.080775943
Sheer Heart Attack (2011 Remaster)	Sheer Heart Attack	8.11.1974	2336556	13	2mEAmmRoZrvhBh1Vic03fZ	No	-7.994307692	2336557	0.626807692	112.4375385	0.532923077	0.003680215	0.074846154	0.251807692	0.441	0.309376923
Live Killers	Live Killers	22.6.1979	5402288	22	2nwy2IT4YbOsZzwUKPb6Pq	No	-10.58545455	5402292	0.7425	127.9233636	0.322345455	0.10472264	0.0874	0.802590909	0.317681818	0.149732805
A Night At The Odeon	A Night At The Odeon	13.11.2015	4400622	19	2tWmWIqaGRhHssZiGrkn8v	No	-8.647052632	4400625	0.855684211	130.6938947	0.225642105	0.103368742	0.156447368	0.768910526	0.282052632	0.309535263
Jazz (2011 Remaster)	Jazz	10.11.1978	2680141	13	2yuTRGIackbcReLUXOYBqU	No	-6.966307692	2680147	0.660076923	119.5326923	0.490461538	0.00126557	0.111484615	0.284	0.508384615	0.178827692
Made In Heaven (2011 Remaster)	Made In Heaven	6.11.1995	4226169	13	391ScNR3xKywWSpfDwP3n0	No	-10.36338462	4226172	0.483592308	100.5673077	0.261741667	0.147726486	0.040441667	0.242783333	0.392	0.268992308
Live At The Rainbow (Deluxe)	Live At The Rainbow	1.1.2014	8644854	41	39YPL3W4Ug5ZFfpiulv2C7	Yes	-6.935731707	8644869	0.866268293	121.9200244	0.282680488	0.133629373	0.169434146	0.596195122	0.271268293	0.095300478
The Miracle (2011 Remaster)	The Miracle	22.5.1989	2477278	10	3h6SV9wHJtNL1YswZUJs8V	No	-5.647	166553	0.985	157.745	0.263	0.000257	0.157	0.383	0.388	0.0117
News Of The World (Deluxe Edition 2011 Remaster)	News Of The World	28.10.1977	3377368	16	3jr9DLjls4THNQSYa0YcTv	Yes	-6.1829	2477280	0.781	111.077	0.5466	0.00409804	0.05898	0.30478	0.5605	0.110252
Flash Gordon (Remastered)	Flash Gordon	5.12.1980	2111526	18	3rxolmqfcqWFr1kihP3lpQ	No	-7.5888125	3377373	0.63834375	130.9799375	0.3728125	0.000273209	0.07636875	0.28620625	0.41359375	0.3209115
The Cosmos Rocks	The Cosmos Rocks	1.1.2008	3523769	14	47paRwe37Iwl2Dasr2pc17	No	-13.13977778	2111534	0.465138889	100.9904444	0.232333333	0.454356444	0.072322222	0.333244444	0.332055556	0.364055933
Made In Heaven (Deluxe Edition 2011 Remaster)	Made In Heaven	6.11.1995	5618421	19	4kCtf1Mrytg1DhNyaDcbDz	Yes	-7.095571429	3523772	0.680285714	113.6177143	0.3658	0.065745282	0.054678571	0.294071429	0.415214286	0.277057143
Innuendo (Deluxe Edition 2011 Remaster)	Innuendo	5.2.1991	4566488	17	4May3oxm4OfBv9QwkXylAC	No	-9.585842105	5618426	0.508247368	103.6915789	0.2876	0.103923385	0.04	0.25645	0.413166667	0.291694737
A Kind Of Magic (Deluxe Edition 2011 Remaster)	A Kind Of Magic	2.6.1986	4248540	16	4pDRU9NBCmst37ZBT4hXVE	Yes	-7.247470588	4566493	0.710705882	112.0685294	0.311247059	0.036404549	0.056288235	0.2655	0.458058824	0.335942353
Queen (2011 Remaster)	Queen	13.7.1973	2323223	10	4Vu6gMiQx2N61fVjPoPdmZ	No	-7.515375	4248547	0.6786875	104.0895625	0.34153125	0.073475483	0.07625	0.2787625	0.4541	0.150571875
On Air	On Air	4.11.2016	6064332	24	4z3q8RPwbnRiiQJDUwMAwH	No	-10.1349	2323226	0.6631	112.029	0.4275	0.113531329	0.08881	0.2613	0.3463	0.319602
The Game (2011 Remaster)	The Game	27.6.1980	2137051	10	58alCatewkjNm9IM1Ucj67	No	-8.800541667	6064351	0.674416667	121.9911667	0.393541667	0.011277407	0.083883333	0.201433333	0.379625	0.255595
Flash Gordon (Deluxe Edition 2011 Remaster)	Flash Gordon	5.12.1980	2882751	24	5d3AOgrLzJFrmiv6eds2wM	Yes	-5.897	401766	0.631	94.98	0.263	0.00242	0.0307	0.501	0.532	0.0732
The Game (Deluxe Edition 2011 Remaster)	The Game	27.6.1980	3172609	15	5EgbL7EnLNXO999sc47gOl	Yes	-6.1255	2137052	0.7	116.3772	0.5786	0.037695474	0.07878	0.15931	0.6048	0.348705
Innuendo (2011 Remaster)	Innuendo	5.2.1991	3232609	12	5kffKW0sSLo6tkLg1veUGC	No	-12.17466667	2882760	0.529854167	109.90075	0.254666667	0.411664417	0.0725125	0.339604167	0.340291667	0.320025979
The Works (2011 Remaster)	The Works	27.2.1984	2232091	9	5RS9xkMuDmeVISqGDBmnSa	No	-6.6752	3172612	0.668133333	115.0571333	0.5228	0.030196536	0.068813333	0.27514	0.536933333	0.341990667
A Day At The Races (Deluxe Edition 2011 Remaster)	A Day At The Races	10.12.1976	4004368	15	5zMufYBMrHmqeYLoXs05Ko	Yes	-7.080833333	3232614	0.699666667	107.6326667	0.2876	0.038738541	0.058958333	0.235541667	0.468916667	0.3660275
Return Of The Champions	Return Of The Champions	1.1.2005	7657176	27	612jMQoBQ7Y0mZJjoAsJO7	No	-7.146666667	2232093	0.668777778	105.457	0.517888889	0.000830189	0.052066667	0.209111111	0.555555556	0.281633333
Hot Space (2011 Remaster)	Hot Space	3.5.1982	2614398	11	6reTSIf5MoBco62rk8T7Q1	No	-8.175133333	4004373	0.5776	126.1148	0.31828	0.029466665	0.048873333	0.298006667	0.390733333	0.407615333
On Fire: Live At The Bowl	On Fire: Live At The Bowl	4.11.2004	6128474	25	6SXKdxJs7RV5pe4RB2shvQ	No	-7.214777778	7657187	0.775518519	125.162037	0.321196296	0.11951875	0.081311111	0.921148148	0.290407407	0.22381037
