danceability;track_id;tempo;valence;artist_name;instrumentalness;album_id;key;speechiness;time_signature;duration_ms;mode;album_name;loudness;energy;liveness;album_release_date;acousticness
0.352;74eeAaPoGPuaMKpFria6Ff;101.636;0.26;Queen;3.17e-05;4z3q8RPwbnRiiQJDUwMAwH;2;0.035;4;248263;0;On Air;-9.546;0.504;0.128;2016-11-04;0.622
0.51;1OBNxuT3jiwCoZUQC6BOxB;134.94;0.466;Queen;0;4z3q8RPwbnRiiQJDUwMAwH;9;0.0569;4;229827;1;On Air;-8.595;0.718;0.0669;2016-11-04;0.225
0.374;5yCc7rZJqIf0S0ocdbdiks;95.878;0.366;Queen;0.00018;4z3q8RPwbnRiiQJDUwMAwH;9;0.0299;4;253369;1;On Air;-12.721;0.318;0.0956;2016-11-04;0.377
0.248;2UmxDvAuojcNhRExLB0Vtn;74.487;0.349;Queen;0.000112;4z3q8RPwbnRiiQJDUwMAwH;9;0.0859;4;390247;1;On Air;-10.14;0.605;0.422;2016-11-04;0.034
0.246;0ahOr0WCdsxiXQaMl2WzHr;172.297;0.383;Queen;0.0534;4z3q8RPwbnRiiQJDUwMAwH;4;0.0985;3;261455;1;On Air;-8.213;0.752;0.609;2016-11-04;0.0107
0.482;42NZJXderi4k6OcTmo4yFl;135.858;0.516;Queen;0;4z3q8RPwbnRiiQJDUwMAwH;9;0.0594;4;230736;1;On Air;-8.903;0.709;0.0485;2016-11-04;0.216
0.305;3BPe2ZIj2uMGL2k0UGAvlw;143.415;0.347;Queen;9.99e-05;4z3q8RPwbnRiiQJDUwMAwH;2;0.0901;4;389866;1;On Air;-9.402;0.62;0.507;2016-11-04;0.0953
0.336;2POORnjTVsU2PsGtjyOCs4;143.128;0.496;Queen;0.00625;4z3q8RPwbnRiiQJDUwMAwH;4;0.176;4;363669;0;On Air;-8.674;0.924;0.381;2016-11-04;0.00538
0.317;36ps082aeOkbv4FdU4r9BJ;101.188;0.309;Queen;0.143;4z3q8RPwbnRiiQJDUwMAwH;4;0.0774;4;280750;0;On Air;-7.008;0.733;0.102;2016-11-04;0.366
0.331;4HS73LXQjMzoBo18jw3o47;113.927;0.496;Queen;2.73e-05;4z3q8RPwbnRiiQJDUwMAwH;9;0.0749;4;122795;1;On Air;-7.319;0.812;0.0893;2016-11-04;0.0443
0.37;2rwEPHOai3k4O9C4ccsG0P;131.358;0.405;Queen;0.0079;4z3q8RPwbnRiiQJDUwMAwH;2;0.0679;4;357039;1;On Air;-8.488;0.77;0.238;2016-11-04;0.149
0.353;472dZ5pFJU8HKHWWcgIt49;139.585;0.525;Queen;0.0522;4z3q8RPwbnRiiQJDUwMAwH;4;0.0867;4;428999;1;On Air;-8.845;0.806;0.103;2016-11-04;0.124
0.423;6PJxLgEyS8rFWYEhDVj4vo;100.428;0.369;Queen;2.62e-06;4z3q8RPwbnRiiQJDUwMAwH;4;0.165;4;166800;1;On Air;-7.136;0.974;0.249;2016-11-04;0.146
0.423;3T39E1qdNDLQWGEEwz6OOD;121.131;0.573;Queen;4.94e-06;4z3q8RPwbnRiiQJDUwMAwH;5;0.0339;4;89467;1;On Air;-12.307;0.265;0.1;2016-11-04;0.952
0.364;0gM8aSal7JJhaY8uc7nqUb;144.832;0.14;Queen;2.09e-05;4z3q8RPwbnRiiQJDUwMAwH;9;0.0388;4;294119;0;On Air;-8.602;0.629;0.216;2016-11-04;0.674
0.477;44yKxwbohCaMTREw0yFJiQ;131.864;0.453;Queen;0.00569;4z3q8RPwbnRiiQJDUwMAwH;4;0.0551;4;258619;1;On Air;-7.288;0.723;0.0823;2016-11-04;0.0307
0.468;0jc7vXN4Wkq4m4MyW47Hxt;119.462;0.454;Queen;0.000354;4z3q8RPwbnRiiQJDUwMAwH;7;0.0941;4;137132;1;On Air;-8.415;0.83;0.107;2016-11-04;0.01
0.455;2mhapLOReKm1DYoaQWOYjd;73.526;0.565;Queen;7.4e-05;4z3q8RPwbnRiiQJDUwMAwH;7;0.132;4;206779;1;On Air;-7.33;0.74;0.322;2016-11-04;0.0952
0.306;0DNx4zzQSjmYp8FwcfgBQb;166.618;0.464;Queen;6.93e-05;4z3q8RPwbnRiiQJDUwMAwH;4;0.0356;4;180022;0;On Air;-10.279;0.527;0.117;2016-11-04;0.0579
0.453;1QkkNOU7querG2IwAXDED5;83.425;0.362;Queen;2.96e-05;4z3q8RPwbnRiiQJDUwMAwH;11;0.199;4;95460;0;On Air;-10.091;0.412;0.116;2016-11-04;0.635
0.386;4UmQ5TjHfrldvFvts8sjp3;157.743;0.273;Queen;0.000133;4z3q8RPwbnRiiQJDUwMAwH;4;0.146;4;166553;0;On Air;-5.621;0.984;0.383;2016-11-04;0.0128
0.454;4DbyUIUv772HZinXJOnkZQ;91.289;0.513;Queen;5.05e-05;4z3q8RPwbnRiiQJDUwMAwH;2;0.0461;4;324167;1;On Air;-6.336;0.879;0.179;2016-11-04;0.102
0.222;5e1ChflY7qpMxkhuc1ZHmX;185.636;0.235;Queen;0.000877;4z3q8RPwbnRiiQJDUwMAwH;9;0.099;4;396903;1;On Air;-7.594;0.717;0.0658;2016-11-04;0.291
0.456;55DkO4Weza29g64sqnjAcD;64.137;0.126;Queen;0.000151;4z3q8RPwbnRiiQJDUwMAwH;5;0.03;4;191315;0;On Air;-12.36;0.235;0.107;2016-11-04;0.859
0.32;6GFaM5xxetzzM3u0cQ0W8A;134.161;0.146;Queen;0.00692;2tWmWIqaGRhHssZiGrkn8v;9;0.159;4;282813;1;A Night At The Odeon;-7.579;0.904;0.5;2015-11-13;0.0783
0.239;7gN8XRkWKby2pavYVxlop3;103.341;0.091;Queen;0.00178;2tWmWIqaGRhHssZiGrkn8v;2;0.258;4;319360;1;A Night At The Odeon;-8.018;0.921;0.928;2015-11-13;0.257
0.216;12xodeYdTeEer5sh1MS4yR;147.07;0.334;Queen;3.61e-05;2tWmWIqaGRhHssZiGrkn8v;9;0.0713;4;330840;0;A Night At The Odeon;-7.853;0.793;0.937;2015-11-13;0.445
